id-CN105202795A    citedBy-45
id-EP2578954B1    citedBy- 
id-KR20130044568A    citedBy- 
id-DK177457B1    citedBy-14
id-US10386087B2    citedBy-26
id-KR20130059550A    citedBy-1
id-US10295208B2    citedBy-10
id-US20130116951A1    citedBy-12
id-CN103946638A    citedBy-11
id-US9115909B2    citedBy-8
id-KR20130057125A    citedBy- 
id-US20210123618A1    citedBy-2
id-EP2783165B1    citedBy-4
id-US20180156480A1    citedBy-3
id-WO2013080478A1    citedBy-5
id-WO2013073930A1    citedBy-5
id-BE1020300A3    citedBy-3
id-WO2013076660A3    citedBy-1
id-KR101278549B1    citedBy-2
id-KR101308886B1    citedBy-2
id-FR2982345A1    citedBy-5
id-DE102011120005A1    citedBy- 
id-KR20130058431A    citedBy-1
