id-NL1039307C2    abstract-
id-KR101176471B1    abstract-본 발명은 실내 공기의 순환으로 열을 재활용하는 집진기에 관한 것으로, 내부에는 공기 중에 부유하는 분진을 집진하도록 다수개의 백필터(Bag filter)가 설치되고, 상기 백필터의 상측으로 상기 백필터에 대응되게 이격 설치되어 압축기에 의해 공급되는 압축공기를 타이머에 의해 설정된 시간마다 상기 백필터에 분사하는 다수의 에어펄스밸브가 구비되며, 상기 백필터의 하측 하단부에 모터에 의해 구동되는 송풍기가 구비되는 하우징과, 상기 하우징의 일측에 구비되어 분진이 포함된 공기가 유입되는 공기유입관과, 상기 하우징의 상단부에 설치되어 정화된 공기를 실외로 배출하기 위해 설치되는 공기배출관 및 상기 공기배출관에 결합 된 댐퍼로 구성되는 집진기에 있어서, 상기 공기배출관에서 분기되어 상기 공기배출관을 통해 실외로 배출되는 정화된 공기의 일부가 실내로 유입되도록 연결되는 공기유도관 및 송풍량을 조절하기 위하여 상기 공기유도관에 장착되는 댐퍼(Damper)가 더 구비된다. 따라서, 상기와 같은 본 발명에 의하면, 동절기에 내부 공기를 외부로 배출하지 않고 실외에서 순환하도록 함으로써 실내를 항상 따뜻하게 하는 난방효과가 있으며, 그로 인해 실내의 공기를 외부로 배출할 때보다 실내의 온도를 일정하게 유지하기 위한 더욱 많은 열원이 불필요하므로 매우 경제적인 발명이며, 압축기에서 발생 되는 열을 실내로 유입하여 열을 재활용함으로써 실내 온도유지를 위한 난방비가 절약되는 효과가 있고, 더욱이, 공기배출관을 통해 외부로 배출되지 않고 공기유도관을 통해 다시 실내로 유입되어 계속해서 순환되는 공기를 필터를 통해 한번 더 정화함으로써 보다 정화된 공기를 공급하는 효과가 있으며, 나아가, 공기유도관을 통해 실내로 다시 유입되어 송풍되는 공기의 송풍량을 조절가능하고, 송풍공기의 방향을 조절할 수 있는 매우 유용한 발명이다.
id-FR2986058A1    abstract-Caisson de traitement d'air multi-flux pour le bâtiment, à très hautes performances d'échanges énergétiques. L'invention concerne un caisson d'échanges d'énergies (4), intégrant un humidificateur (12) et échangeur à flux d'air multiples (5) provenant de sources diverses pouvant être simultanées, telles que des capteurs solaires (9), de l'air neuf (7) ou vicié (8), d'appareils produisant de l'air chaud ou de l'air froid (10) ou de volumes de stockage et de déstockage d'énergies (6). Les flux sont créés par des ventilateurs, et les échanges d'énergies sont gérés par des thermostats et des registres (11) L'invention est destinée aux installations de traitement d'air pour répondre aux exigences d'économie d'énergie des bâtiments, telles que celles de la réglementation française RTH 2012.
id-KR101388032B1    abstract-본 발명은 열교환기의 전열판 고정장치에 관한 것으로, 보다 구체적으로는 상호 이격간격을 두고 배열되는 전열판과, 전열판의 배열방향을 따라 연장되는 내측면을 가지며 내측면상에 전열판의 단부가 끼워져 장착가능한 조립부가 형성되는 고정측판을 포함하는 열교환기의 전열판 고정장치에 관한 것이다.
id-WO2013116197A1    abstract-An energy recovery system includes a heating and cooling system having a controller and a furnace or fan coil in fluid communication with each of a return air duct and a supply air duct; and an energy recovery ventilator (ERV) having an intake air duct and an exhaust air duct, the ERV being energized by a direct electrical connection to the heating and cooling system. The return air duct is operable to receive stale conditioned air from a conditioned air space while the controller is configured for controlling the ERV to transfer energy from the stale conditioned air to an outside air stream. A method of recovering energy with a heating and cooling system.
id-KR20130005069U    abstract-태양열 가온형 열회수 환기장치가 개시된다. 본 고안은 건물의 실내와 연결되어 내부 공기와 외부 공기를 열교환시키는 것으로, 실내로부터 공기가 유입되는 유입덕트부와, 가온된 공기가 실내로 공급되는 유출덕트부 및 외기 흡입구가 형성된 함체; 상기 함체의 일측에 형성되고, 상기 유입덕트부와 통하며 내부 공기를 걸러주는 필터와, 열교환소자가 형성된 열교환기를 포함하고, 열교환소자를 통과한 공기를 태양열 수광부로 이동시키도록 제1토출공이 형성된 열교환부; 상기 함체의 타측에 형성되고, 상기 열교환부에서 가열된 공기가 이동되는 덕트가 형성되며, 태양열에 의해 가온되도록 흡열수단이 형성된 태양열 수광부를 포함하여 구성된다. 이에 따르면 외기를 태양열 수광부에서 1차적으로 가온시킨 후 이를 실내에 공급하여 에너지 절감이 가능한 효과가 있다.
id-US9810463B2    abstract-An integrated air conditioning system includes an indirect outdoor air cooler having a first heat exchanger for passing through indoor air as warm air, a second heat exchanger for passing through outdoor air, and piping and a pump for circulating a fluid through the first heat exchanger and the second heat exchanger; an air conditioner having an evaporator, a compressor, and a condenser, for passing the indoor air to convert to cold air; a fan for passing the outdoor air through the second heat exchanger and the condenser; and a control device. The control device sets any mode from among a first mode for performing an individual operation of the indirect outdoor air cooler, a second mode for performing an individual operation of the air conditioner, or a third mode for performing a combined operation of the air conditioner and the indirect outdoor air cooler, to a current operation mode.
id-US11378300B2    abstract-An air conditioning unit includes a passage having a heat exchanger; a blower for blowing air through the passage; a blower motor driving the blower in response to a drive signal; an energy recovery ventilator (ERV), the blower drawing outside air from the ERV; and a controller for adjusting the drive signal in a ventilation mode to reduce power used by the blower motor.
id-CA2864744C    abstract-The aim of the invention is to create a device (10) for cooling and/or heat recovery, wherein the device (10) is modularly expandable in a simple manner without affecting the efficiency. Said aim is achieved according to the invention by a device (10) formed by a plurality of modular heat exchanger components (11) each comprising one heat exchanger.
id-KR20130096586A    abstract-본 발명은 벽체 내에 삽입 설치되어 실내외의 공기를 순환시키는 동시에 실내로부터 배출되는 공기에 포함된 배기열을 회수할 수 있도록 하는 벽체일체형 환기장치에 관한 것으로, 환기장치 본체는 건물의 벽체 내에 삽입 설치되고, 흡기팬과 배기팬은 천장의 내부에 설치되며, 환기대상이 되는 실내 공간의 하부에서 공기를 흡입하여 상부에서 공기를 배출하는 유로를 가지도록 구성된 것을 그 기술적 특징으로 하며, 이에 의해 설치공간의 제약이 작고, 공기의 균일한 순환이 이루어져 효과적인 실내 환기가 달성된다.
id-EP2813772B1    abstract-
id-EP2629023B1    abstract-
id-KR101167864B1    abstract-본 발명은 실내공기 순환용 급배기 장치에 관한 것으로서, 그 구체적인 구성은, 하우징(10)의 내부는 격막(11)을 통해 제1격실(20)과 제2격실(21)로 구획되고, 격막(11)을 관통하는 1개의 모터(30)가 격막(11)의 중앙부에 설치되며, 상기 모터(30)는 양측에 2개의 모터축이 형성되어 제1풍향팬(31)과 제2풍향팬(32)이 동시에 설치되고, 상기 제1,2풍향팬(31, 32)의 하부에는 공기의 흐름을 원활하게 유도하기 위한 풍향유도구(33)가 설치되며, 상기 제1풍향팬(31)의 일측방에는 순차적으로 설치된 2개의 댐퍼(40)가 댐퍼설치판(41)을 통해 설치되고, 제2풍향팬(32)의 일측방에는 1개의 댐퍼(40)가 댐퍼설치판(41)을 통해 설치되며, 상기 하우징(10)의 외측 일측면에는 상기 제1,2풍향팬(31, 32)에 연통되도록 제1통기공(12) 및 제2통기공(13)이 각각 설치되고, 하우징(10)의 외측 타측면에는 상기 제1,2통기공(12, 13)과 동일축선상으로 제3통기공(14) 및 제4통기공(15)이 각각 설치되되, 상기 제3통기공(14)의 직전에서 흐르는 공기가 우회하도록, 상기 제1풍향팬(31)의 일측방에 순차적으로 설치된 2개의 댐퍼(40)의 사이에서 하우징(10)의 내부로 연통되는 제5통기공(16)이 하우징(10)의 외측면에 설치되는 구성으로 이루어진다.
id-EP2634496B1    abstract-
id-DE102012003544A1    abstract-Es wird ein Lüftungsmodul zur dezentralen Wohnraumlüftung mit Wärmerückgewinnung beschrieben, welches speziell für den Einbau in die Gebäudehülle optimiert wurde. Zur Anwendung kommt ein Faltflächenwärmetauscher mit vorzugsweiser Belüftung von den Stirnseiten her, der an speziellen Stellen des Gebäudes so eingebaut wird, dass die Einheit zur Reinigungszwecken leicht zugänglich ist.
id-KR20130095575A    abstract-본 발명은 판형 열교환기에 관한 것으로서, 특히 제1전열판과, 제2전열판과, 상기 제1전열판과 상기 제2전열판이 각각 하나 이상 번갈아 적층되어 진공 브레이징 되는 것을 포함하되, 상기 제1전열판과 상기 제2전열판은 알루미늄 판재로 제작되어 진공 브레이징 후의 인장강도Rm(세로)이 145Mpa 이상임을 특징으로 하여, 열전달율과 성형성이 좋고, 원자재비를 줄일 수 있는 판형 열교환기에 관한 것이다.
id-NL2008342C2    abstract-
id-DE102012003295A1    abstract-Die Erfindung betrifft eine Vorrichtung zum Entfeuchten von Feuchtluft mit einem Luftkühler, durch den die zu Feuchtluft gekühlt wird und in dem die Feuchtigkeit kondensiert oder gefriert, und mit einem in Strömungsrichtung der Luft dahinter liegenden Lufterhitzer, durch den die aus dem Luftkühler austretende Trockenluft wieder erhitzt wird. Es wird vorgeschlagen, dass in Strömungsrichtung zwischen dem Luftkühler und dem Lufterhitzer wenigstens ein Kreuzstromwärmetauscher vorhanden ist, dessen Kühlseite durch die Feuchtluft vor dem Eintritt in den Luftkühler strömt und vorgekühlt wird, und dessen Heizseite durch die von dem Luftkühler gekühlte Trockenluft durchströmt wird, bevor diese in den Lufterhitzer eintritt.
id-DE202012001721U1    abstract-Vorrichtung zum Entfeuchten von Feuchtluft (13) mit einem Luftkühler (16), durch den die Feuchtluft gekühlt wird und in dem die Feuchtigkeit kondensiert oder gefriert, und mit einem in Strömungsrichtung der Luft dahinter liegenden Lufterhitzer (18), durch den die aus dem Luftkühler austretende Trockenluft wieder erhitzt wird, dadurch gekennzeichnet, dass in Strömungsrichtung (25) zwischen dem Luftkühler (16) und dem Lufterhitzer (18) wenigstens ein Kreuzstromwärmetauscher (12) vorhanden ist, dessen Kühlseite durch die Feuchtluft (13) vor dem Eintritt in den Luftkühler (16) strömt und vorgekühlt wird, und dessen Heizseite durch die von dem Luftkühler (16) gekühlte Trockenluft (17) durchströmt wird, bevor diese in den Lufterhitzer (18) eintritt.
id-US20180252487A1    abstract-An energy exchange system includes a supply flow path including a central sub-path connected to a bypass sub-path that is, in turn, connected to a delivery sub-path that connects to the enclosed structure. A sensible heat exchanger configured to condition the supply air is disposed within the central sub-path. The bypass sub-path connects to the central sub-path upstream from the sensible heat exchanger within the central sub-path. A first coil configured to further condition the supply air is disposed within the central sub-path downstream from the sensible heat exchanger. A bypass damper is disposed within the bypass sub-path. The bypass damper is configured to be selectively opened and closed. The bypass damper allows at least a portion of the supply air to pass through the bypass sub-path into the delivery sub-path and bypass the sensible heat exchanger and the first coil when the bypass damper is open.
id-WO2013131436A1    abstract-热回收空调机组，它是由送风箱、排风箱、制冷系统、配电控制系统组成，送风箱把室外新风处理后送到室内，排风箱把室内污浊的空气排向室外，制冷系统的蒸发器装在送风箱中，制冷吋，用于冷却空气，制热吋，转换成冷凝器，用于加热空气，制冷系统的冷凝器装在排风箱中，制冷吋，吸收室内空气和室外空气中的冷量，制热吋，转换成蒸发器，吸收室内空气和室外空气中的热量，因此，室内排风中的冷热量得到回收利用，该设备不仅能进行再热空气处理，也可以实现对空气的温湿度独立控制处理，节能效果显著。
id-EP2821732A1    abstract-An object of the present invention is to provide an exhaust heat recovery system for suitably circulating refrigerants in an intermediate heat exchanger at the start of an exhaust heat recovery operation, and a method for operating the exhaust heat recovery system. There is provided an air-conditioning and hot water supply system 1 along with a method for operating the system 1 in which an air-conditioning refrigerant circuit 3 and a hot-water-supply refrigerant circuit 2 are thermally connected with each other via an intermediate heat exchanger 11; the air-conditioning refrigerant circuit 3 is equipped with a heat exchanger 32 on the air-conditioning heat source side arranged in parallel with the intermediate heat exchanger 11; and the hot-water-supply refrigerant circuit 2 is furnished with a heat exchanger 22 on the hot-water-supply use side arranged in parallel with the intermediate heat exchanger 11. At the start of an exhaust heat recovery operation in which the air-conditioning refrigerant circulating in the air-conditioning refrigerant circuit 3 releases the heat absorbed from an air-conditioning hot and cold water circuit 5 into the hot-water-supply refrigerant circulating in the hot-water-supply refrigerant circuit 2 via the intermediate heat exchanger 11, the inflow of the air-conditioning refrigerant into the heat exchanger 32 on the air-conditioning heat source side and the inflow of the hot-water-supply refrigerant into the heat exchanger 22 on the hot-water-supply use side are limited.
id-WO2013144441A1    abstract-The building engineering system comprises heat storage (302); refrigeration equipment (212) having carbon dioxide as refrigerant and comprising an evaporator part (208), expansion valve part (206), compressor part (210) and condenser part (104); a pipe system (108) for circulating the refrigerant in said refrigeration equipment (212); a heat exchanger (202) connected in connection with the condenser part (104) to transfer heat off the refrigeration equipment (212) to the heat storage (302); a supercooler part (200) connected to the pipe system (108) between the condenser part (104) and the expansion valve part (206); an additional heat exchanger part (300) connected to the pipe system (108) in parallel with said evaporator part (208) and expansion valve part (206) to allow heat to be transferred from the additional heat exchanger part (300) to the refrigerant of the pipe system (108) and further to the heat exchanger (202); and a heat transfer pipe system (450) arranged to connect the supercooler part (200), the additional heat exchanger part (300) and at least one other part (204) of the building engineering system to allow heat to be transferred from the supercooler part (200) to the additional heat exchanger part (300) and/or at least one other part (204) of the building engineering system by means of heat carrier in the heat transfer pipe system (450).
id-EP2642215B1    abstract-
id-EP2827972B1    abstract-
id-DE102012101983A1    abstract-Die Erfindung betrifft ein Fenstersystem mit aktiver Belüftung, aufweisend ein Fenster, das einen Innen- von einem Außenraum trennt, eine Belüftungseinrichtung, die über mindestens einen Zu- (3, 6) und mindestens einen Abluftkanal (4, 7) verfügt und die einen Luftaustausch zwischen dem Innen- und dem Außenraum ermöglicht, und mindestens ein Wärmerohr (5, 8), das zum Wärmetausch zwischen durch den mindestens einen Zuluftkanal (3, 6) und durch den mindestens einen Abluftkanal strömender Luft dient, wobei das mindestens eine Wärmerohr (5, 8) mindestens einen ersten Wärmeübertragungsbereich (5.1, 8.1) umfasst, der mit der Zuluft in thermischem Kontakt steht, und mindestens einen zweiten Wärmeübertragungsbereich (5.3, 8.3) aufweist, der mit der Abluft in thermischem Kontakt steht, wobei zumindest in einem Teilabschnitt des Wärmerohrs (5, 8), Kapillaren angeordnet sind, mittels derer flüssiges Kältemittel im Wärmerohr ohne oder gegen die Schwerkraft transportierbar ist.
id-KR101222581B1    abstract-회전식 열교환장치가 개시된다. 본 발명의 일 실시예에 따른 회전식 열교환장치는, 하우징 내에 회전 가능하게 설치되고 그 내부는 회전중심부로부터 방사상으로 복수의 수용공간으로 분할되며 외주면에는 상기 복수의 수용공간마다 개구가 형성되고 양면은 통기성을 갖는 열교환드럼과, 상기 열교환드럼의 외주면을 감싸고 상기 개구에 상응하는 형상의 개구부가 형성된 링형커버와, 상기 복수의 수용공간 내에 각각 충전된 다수의 알갱이 형상의 열교환매체와, 상기 하우징 내의 상기 열교환드럼 하측에 형성된 세척실과, 상기 하우징 내의 상기 열교환드럼 상측에 형성된 건조실과, 상기 세척실 및 상기 건조실을 연결하는 이송부와, 상기 링형커버가 상기 열교환드럼의 상기 회전중심을 중심으로 상기 열교환드럼의 외주면에 대하여 상대적으로 회전되도록 하는 커버구동부를 포함할 수 있다.
id-KR101349812B1    abstract-본 발명은 열회수형 환기장치에 관한 것으로서, 건물의 외부로 노출되어 있는 벽면에 각각 외기흡입구(11)와 내기배출구(12)가 마련되고, 건물의 내부로 노출되어 있는 벽면에 각각 외기급기구(13)와 내기흡입구(14)가 마련되며 중앙에 내부공간을 갖는 하우징(10)과, 이 하우징(10)의 내부공간에 배치되되 각각의 모서리가 벽면의 각 내측면 중앙에 밀착되면서 네 개의 모서리 공간을 구획하는 동시에 실내, 외기 간의 열 교환이 이루어지도록 하는 열교환기(20)와, 상기 외기흡입구(11)측 및 내기흡입구(14)측의 열교환기(20) 인접부에 각각 설치되는 필터(30)와, 상기 내, 외기의 흐름을 관장하는 급, 배기팬(41,42) 및 상기 필터(30)를 통과하는 급, 배기 공기 흐름의 압력변화를 감지하여 필터(30)의 점검 시기를 인지시켜주는 필터점검시기 인지수단을 포함하여 구성된다. 따라서, 기본적으로 필터의 상태 파악 및 필터 관리가 용이하게 되면서 먼지 퇴적 등에 의한 엘리먼트의 수명 저하를 미연에 방지할 수 있음은 물론 전반적으로 열교환 효율 증대 및 풍량손실의 최소화를 통한 경쟁력 및 신뢰성 향상을 도모할 수 있게 되는 등의 효과를 얻는다.
id-FI20120098A    abstract-
id-DE202012007862U1    abstract-Ein Strömungskörper angeordnet in strömungstechnischer Nähe zu einem Wärmespeicher zur Optimierung der bidirektionalen Durchströmungseigenschaften des Wärmespeichers beim Einsatz von Lüfteranordnungen mit Reversiereigenschaften gekennzeichnet dadurch, dass er Luftströmungsanteile mindestens einer Strömungsrichtung so umlenkt, dass in dieser Strömungsrichtung sonst nicht erfasste Wärmespeicherbereiche mit durchströmt werden.
id-KR20130112378A    abstract-본 발명은 건물의 벽체의 내외면에 각각 설치되는 실내 및 실외 급배기 디바이스를 구비하여 건물 내의 공기를 환기시키는 폐열회수형 무전원 환기장치에 관한 것이다. 여기서, 상기 실외 급배기 디바이스는, 실외 급기구와 실외 배기구가 각각 형성되고, 상기 벽체에 삽입되어 외기를 실내로 안내하는 실외 연결구가 형성되는 통형 실외 본체 및 상기 실외 본체 내에 격리 배치되어 실내 공기를 상기 실외 배기구로 안내하는 실외 배기 통로를 구비한다.  또한, 상기 실내 급배기 디바이스는, 실내 급기구와 실내 배기구가 각각 형성되고, 상기 벽체에 삽입되어 상기 실외 연결구와 결합되는 실내 연결구가 형성되는 통형 실내 본체와, 상기 실내 본체 내에 배치되어 급기와 배기간의 전열교환이 이루어지는 열교환 소자와, 상기 실내 급기구에 설치되어 급기에 의해 회전하는 급기 임펠러와, 상기 급기 임펠러에 연결되어 회전하는 무동력 회전자 및 상기 무동력 회전자에 연결되어 실내 공기를 상기 실외 배기 통로로 보내는 배기 임펠러를 구비한다.
id-US10352629B2    abstract-The present invention relates to a heat exchange element in which unit constituent members, each of which includes a partition member that has a heat-transfer property and a moisture permeability and a spacing member that holds the partition member with a predetermined spacing, are stacked and in which a primary air flow that passes along an upper surface side of the partition member and a secondary air flow that passes along an undersurface side of the partition member and crosses the primary air flow exchange heat and moisture through the partition member, wherein a detachment suppressing rib is provided on the opposite side of the spacing member when viewed from the partition member at a bonded portion between the partition member and the spacing member, and the partition member is sandwiched by the spacing member and the detachment suppressing rib.
id-WO2013157246A1    abstract-熱交換形換気装置（１）は、給気送風経路（６）と排気送風経路（７）とが交差する位置に、熱交換素子部（１１）が配置されている。また熱交換形換気装置（１）は、風路遮蔽部（１２）と、室内湿度計測部（１３）と、制御部（２８）とを備えている。制御部（２８）は、室内湿度計測部（１３）の値が第１の所定値を上回れば、熱交換素子部（１１）への外気（２４）の導入を小さくする排気運転モードを備えている。
id-US9903669B2    abstract-Provided is a heat exchange element that suppresses an increase in air-flow resistance by suppressing deflection of a partition member caused by a change in temperature and humidity. The unit constituent members are stacked, each of which is formed of partition members that have heat-transfer properties and moisture permeability, and spacing members that hold the partition members. A primary air flow that passes along an upper-surface side of the partition member and a secondary air flow that passes along an undersurface side of the partition member cross each other so as to exchange heat and moisture via the partition member. The spacing member includes: spacing ribs that maintain the spacing between the partition members; and deflection suppressing ribs that have a height smaller than the spacing ribs so as to suppress deflection of the partition members.
id-US9182137B1    abstract-A low profile, high volume window fan has a large air filter mounted horizontally therein. The fan is enclosed in a rectangular box-like frame having a sloped top cover. The front section includes a squirrel cage blower, a front louvered section for directing the flow of air into the room, and a horizontally opening door for controlling the flow of air through the fan from either the outside air or the inside air, and for the insertion of the filter therein. The bottom surface includes an external opening for outside air. A double plenum is provided within the frame with the filter dividing the two plenums. When the door is closed, outside air is forced to flow into the second plenum, being in the bottom of the frame and under the filter and through the filter. When the door is opened, interior air is then filtered and circulated.
id-GB2501533A    abstract-A live stock house ventilation system 12 compromising a sensing device 16 for monitoring the level of carbon dioxide in the house, a ventilation arrangement for introducing a controlled amount of external atmospheric air into the house and a controller 15 configured to signal operation of the ventilation arrangement in response to the level of carbon dioxide sensed by the sensing device so as to maintain carbon dioxide below a predetermined level and minimise the requirement for ventilation. The system preferably includes a radiant heater 18 and a heat exchanger to recover heat from the exhausted air. The ventilation arrangement can be a discrete device 20 which introduces air via an opening in the side wall of the housing 10 and expels air via another opening.
id-KR101201876B1    abstract-본 발명은 설치공간 확보를 위한 열교환기 유닛의 결합구조는 설치공간이나 흡배기덕트의 방향 등에 따라 단품화된 팬과 열교환기를 상하, 좌우 등으로 결합하여 설치할 수 있도록 하는 것이다. 이를 위한 본 발명은 급기와 배기기능을 하는 팬 유닛과, 팬 유닛에 의해 배기되는 공기를 이용하여 급기되는 공기를 가열하는 열교환기 유닛으로 구성된 것으로서, 팬 유닛은 급배기 덕트와의 결합을 위한 제1급기구와 제1배기구가 전방에 형성되고, 열교환기 유닛과의 결합을 위한 제1 내지 제6연결구가 상부와 후방에 각각 형성되고, 열교환기 유닛은 팬 유닛과의 결합을 위한 제7 내지 제10연결구가 전방과 하방에 설치되고, 급배기 덕트와의 결합을 위한 제2급기구와 제2배기구가 후방에 형성되어 있다.
