id-EP2801495B1    citedBy-83
id-WO2015024508A1    citedBy-31
id-KR101973246B1    citedBy-11
id-CN104417537B    citedBy-9
id-US20160101700A1    citedBy-6
id-JP2015047048A    citedBy-8
id-CN104417393B    citedBy-8
id-US20150045178A1    citedBy-7
id-WO2015019165A1    citedBy-10
id-US20150106003A1    citedBy-6
id-DE102014217022A1    citedBy-6
id-EP3032689A4    citedBy-6
id-EP3038849B1    citedBy-5
id-TW201529387A    citedBy-5
id-WO2015024422A1    citedBy-5
id-KR102030714B1    citedBy-5
id-DE112013007201T5    citedBy-3
id-WO2015019430A1    citedBy-1
id-CN104426431A    citedBy-3
id-WO2015018993A2    citedBy-4
id-DE102013013640A1    citedBy-3
id-JP2015033935A    citedBy-1
id-WO2015018669A2    citedBy-4
id-WO2015020097A1    citedBy-4
id-CN105377653A    citedBy-3
id-DE102013013641A1    citedBy-1
id-US20200052531A1    citedBy-70
id-CN105492244B    citedBy-24
id-US10144293B2    citedBy-28
id-CN104417557B    citedBy-32
id-US10363821B2    citedBy-20
id-US10137784B2    citedBy-28
id-US10144412B2    citedBy-19
id-US9744872B2    citedBy-16
id-US20150066326A1    citedBy-19
id-US10046646B2    citedBy-11
id-CN104417535A    citedBy-9
id-CN105593055B    citedBy-9
id-US10112600B2    citedBy-8
id-JP2015056971A    citedBy-11
id-JP5895916B2    citedBy-7
id-DE102014218509A1    citedBy-13
id-EP3045363B1    citedBy-8
id-CN104512410A    citedBy-17
id-EP2853459A3    citedBy-6
id-CN104512403B    citedBy-6
id-EP3054578A4    citedBy-5
id-CN104467450A    citedBy-4
id-WO2015046460A1    citedBy- 
id-GB2518397A    citedBy-2
id-DE202013012028U1    citedBy-3
id-JP5884802B2    citedBy-2
id-FR3010250A1    citedBy-3
id-US20150066266A1    citedBy-3
id-CH708588A1    citedBy-3
id-DK3049277T3    citedBy-4
id-DE102013014765A1    citedBy- 
id-DE102013014882A1    citedBy- 
id-KR20150035255A    citedBy- 
id-US9954212B2    citedBy-24
id-US10046661B2    citedBy-30
id-US9849793B2    citedBy-53
id-CN104553821B    citedBy-18
id-US9834110B2    citedBy-16
id-CN104578232B    citedBy-15
id-CN104553848B    citedBy-14
id-CN104553743B    citedBy-13
id-US9776623B2    citedBy-12
id-EP2927071B1    citedBy-8
id-US9242575B2    citedBy-7
id-WO2015052027A1    citedBy-7
id-CN104512261B    citedBy-11
id-CN104553816B    citedBy-7
id-US20160241110A1    citedBy-6
id-AU2014226991A1    citedBy-2
id-US20160280071A1    citedBy-1
id-JP2015077856A    citedBy-4
id-KR20150045296A    citedBy-2
id-KR101660009B1    citedBy-4
id-KR101510343B1    citedBy-3
id-KR101473587B1    citedBy-2
id-KR20150043817A    citedBy-2
id-JP6576627B2    citedBy-1
id-US20150114739A1    citedBy-4
id-US20160277418A1    citedBy- 
id-FR3012376A1    citedBy- 
id-KR20150042452A    citedBy- 
id-DE102013220733A1    citedBy- 
id-DE102013016876A1    citedBy- 
id-US9399404B2    citedBy-30
id-US10155447B2    citedBy-17
id-US9944290B2    citedBy-16
id-US9473059B2    citedBy-14
id-US20160243943A1    citedBy-17
id-US10005447B2    citedBy-13
id-EP2949530B1    citedBy-12
id-DE112014005234B4    citedBy-12
id-US20150130423A1    citedBy-10
id-CN105794073A    citedBy-10
id-KR20150063615A    citedBy-10
id-JP2015091167A    citedBy-9
id-US20180083537A1    citedBy-5
id-WO2015080021A1    citedBy-7
id-DE102013224149A1    citedBy-8
id-US20160288661A1    citedBy-6
id-US20160288663A1    citedBy-6
id-JP6237789B2    citedBy-5
id-CN104648160A    citedBy- 
id-KR101484241B1    citedBy-5
id-US9580067B2    citedBy-1
id-WO2015075807A1    citedBy-4
id-EP3074255A4    citedBy-2
id-WO2015072296A1    citedBy-2
id-WO2015079574A1    citedBy-1
id-KR101498524B1    citedBy-1
id-JP2015089698A    citedBy-4
id-CN105745836A    citedBy-4
id-KR101440277B1    citedBy- 
id-WO2015078757A3    citedBy- 
id-DE102013223420A1    citedBy- 
